loc_id,month,avgmaxtempC,avgmaxtempF,avgmintempC,avgmintempF,absmaxtempC,absmaxtempF,absmintempC,absmintempF,avgtempC,avgtempF,maxwindspeedMiles,maxwindspeedKmph,avgwindspeedMiles,avgwindspeedKmph,avgwindgustMiles,avgwindgustKmph,avgdailyrainfallMM,avgdailyrainfallInches,avgmonthlyrainfallMM,avgmonthlyrainfallInches,humidity,cloudcover,visibilityKm,visibilityMiles,pressureMB,pressureInches,avgdrydays,avgraindays,avgsnowdays,avgfogdays,avgthunderdays,avguvindex,avgsunhour
1,1,7,44,2,35,9,48,-1,30,4,39,10.6,17.1,10.3,16.6,16.9,27.2,0.62,0.02,19.23,0.76,88,58,9,5,1014.1,30.4,17,11,2,6,2,2,124.8
1,2,7,45,2,36,12,53,0,32,5,40,10.7,17.2,10.4,16.7,16.4,26.5,0.76,0.03,21.25,0.84,85,61,9,5,1014.1,30.4,16,10,3,6,1,2,100.5
1,3,11,51,3,38,13,55,0,31,7,44,10.0,16.2,9.7,15.7,14.8,23.9,0.70,0.03,21.84,0.86,81,56,9,5,1015.4,30.5,16,11,1,7,1,3,169.0
1,4,14,57,5,41,18,64,3,37,9,49,8.6,13.8,8.3,13.4,12.2,19.7,0.69,0.03,20.58,0.81,78,51,9,5,1015.5,30.5,15,13,0,8,1,3,227.3
1,5,17,62,8,46,20,69,5,41,12,54,8.6,13.8,8.3,13.4,12.0,19.3,0.89,0.04,27.68,1.09,77,53,9,5,1016.3,30.5,14,14,0,8,1,4,226.0
1,6,20,67,11,51,23,73,9,48,15,60,8.3,13.3,8.0,12.9,11.3,18.2,1.35,0.05,40.60,1.60,77,54,9,5,1016.5,30.5,13,15,0,9,1,5,225.7
1,7,22,72,13,56,27,80,10,51,18,64,8.1,13.0,7.8,12.6,11.0,17.7,1.11,0.04,34.56,1.36,73,50,9,5,1015.2,30.5,13,16,0,8,1,5,250.0
1,8,22,71,14,56,24,75,11,52,18,64,8.1,13.0,7.8,12.6,11.0,17.7,0.92,0.04,28.61,1.13,73,49,9,5,1015.1,30.5,16,12,0,8,1,4,248.3
1,9,19,66,11,52,21,69,9,48,15,59,8.1,13.0,7.9,12.6,11.4,18.4,0.86,0.03,25.81,1.02,76,50,8,5,1016.9,30.5,18,10,0,10,0,4,212.0
1,10,15,59,9,48,17,62,7,44,12,54,9.5,15.3,8.9,14.3,13.5,21.7,0.94,0.04,29.26,1.15,82,56,9,5,1015.1,30.5,17,12,0,8,1,3,140.0
1,11,10,51,6,42,13,55,3,37,8,46,10.3,16.5,9.6,15.5,15.3,24.6,1.12,0.04,33.69,1.33,86,61,8,5,1010.6,30.3,15,13,0,7,2,2,118.5
1,12,8,46,4,38,12,53,-3,27,6,42,11.1,17.9,10.5,17.0,17.4,27.9,1.20,0.05,37.26,1.47,88,59,9,5,1014.5,30.4,18,11,1,6,2,2,130.8
