loc_id,date,time,isdaytime,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF
1,2019-06-01,0,no,16,61,6,10,228,SW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,77,10,6,1023,31,7,16,61,12,54,16,61,7,12,16,61
1,2019-06-01,100,no,16,60,6,9,230,SW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,78,10,6,1023,31,6,16,60,12,53,16,60,7,11,16,60
1,2019-06-01,200,no,15,59,5,9,233,SW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,79,10,6,1022,31,5,15,59,11,53,15,59,6,10,15,59
1,2019-06-01,300,no,15,58,5,8,235,SW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,79,10,6,1022,31,4,15,58,11,52,14,58,6,9,14,58
1,2019-06-01,400,no,15,59,4,7,229,SW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,77,10,6,1022,31,4,15,59,11,52,15,59,5,8,15,59
1,2019-06-01,500,no,16,61,4,6,224,SW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,74,10,6,1022,31,3,16,61,11,52,16,60,5,7,16,60
1,2019-06-01,600,no,17,62,4,6,218,SW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,72,10,6,1022,31,2,17,62,11,53,17,62,4,6,17,62
1,2019-06-01,700,no,18,64,4,6,214,SW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,64,10,6,1022,31,8,18,64,11,51,18,64,4,7,18,64
1,2019-06-01,800,yes,19,67,4,6,211,SSW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,57,10,6,1022,31,13,19,67,10,50,19,67,5,7,19,67
1,2019-06-01,900,yes,21,69,4,7,207,SSW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,49,10,6,1022,31,19,21,69,10,49,21,69,5,8,21,69
