loc_id,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalprecipMM,totalprecipIn,windspeedMiles,windspeedKmph,sunhour,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,sunrise,sunset,moonrise,moonset
1,2019-06-01,26,78,15,58,22,72,0.00,0.00,6,10,8.7,200,SSW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,61,10,6,1020,31,7,21,70,12,54,21,69,7,12,21,70,03:49 AM,08:08 PM,03:12 AM,05:45 PM
1,2019-06-02,24,75,17,62,22,71,0.50,0.02,12,19,3.3,215,SW,122,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,66,9,5,1011,30,61,21,70,13,56,20,69,15,23,20,69,03:49 AM,08:09 PM,03:37 AM,06:59 PM
1,2019-06-03,20,68,14,56,18,64,0.50,0.02,10,17,5.1,235,SW,353,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,57,10,6,1012,30,42,17,62,8,46,16,61,12,20,16,61,03:48 AM,08:10 PM,04:08 AM,08:13 PM
1,2019-06-04,17,63,14,56,16,62,10.70,0.42,7,12,5.1,164,SSE,353,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,71,9,5,1007,30,54,16,60,10,51,16,60,9,14,16,60,03:47 AM,08:11 PM,04:47 AM,09:23 PM
1,2019-06-05,19,66,13,55,17,62,0.10,0.00,8,13,6.9,236,SW,122,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,64,10,6,1006,30,65,16,60,9,47,15,60,10,17,15,60,03:47 AM,08:12 PM,05:38 AM,10:23 PM
1,2019-06-06,19,66,12,54,17,62,0.00,0.00,9,14,8.7,211,SSW,116,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,55,10,6,1010,30,24,16,60,6,43,15,59,11,17,15,59,03:46 AM,08:13 PM,06:39 AM,11:14 PM
1,2019-06-07,17,62,14,56,15,59,18.60,0.73,10,17,3.3,137,SE,356,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0010_heavy_rain_showers.png,Moderate or heavy rain shower,70,9,5,1002,30,82,15,58,9,49,14,57,14,23,14,57,03:45 AM,08:14 PM,07:52 AM,11:54 PM
1,2019-06-08,18,64,11,52,15,60,3.10,0.12,18,28,3.3,244,WSW,176,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,64,9,5,1010,30,79,14,58,7,45,13,55,23,37,13,55,03:45 AM,08:15 PM,09:10 AM,No moonset
1,2019-06-09,20,68,11,53,17,63,0.30,0.01,7,11,6.9,210,SSW,122,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,56,17,10,1020,31,56,16,60,6,44,15,59,8,14,15,59,03:45 AM,08:15 PM,10:30 AM,12:25 AM
1,2019-06-10,13,56,5,41,12,53,45.30,1.78,5,8,3.3,269,W,389,https://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0024_thunderstorms.png,Moderate or heavy rain with thunder,80,8,4,1014,30,92,13,55,10,50,11,52,7,11,11,52,03:44 AM,08:16 PM,11:50 AM,12:52 AM
